language,n_authors,split,time
English,6,val,00:27:20
Latin,6,val,00:27:21
Spanish,6,test,00:28:00
English,6,test,00:28:30
German,6,val,00:29:00
French,6,val,00:29:12
German,6,test,00:29:20
Portuguese,6,val,00:30:02
Italian,6,val,00:30:30
Polish,5,val,00:30:40
Latin,6,test,00:30:40
Finnish,5,val,00:30:50
Tamil,2,val,00:31:20
Polish,5,test,00:31:30
Chinese,5,test,00:31:50
Finnish,5,test,00:31:50
Dutch,6,val,00:32:34
Tamil,2,test,00:32:50
Italian,6,test,00:32:50
Dutch,6,test,00:33:09
Portuguese,6,test,00:33:16
Chinese,5,val,00:33:30
Multilingual,2,val,00:33:39
French,6,test,00:33:52
Greek,3,test,00:34:00
Russian,6,test,00:34:30
Spanish,6,val,00:36:20
Russian,6,val,00:36:50
Multilingual,2,test,00:37:09
Esperanto,2,val,00:37:39
Greek,3,val,00:39:23
Esperanto,2,test,00:41:40
Swedish,3,val,00:42:30
Swedish,3,test,00:45:30
Arabic,1,train,00:46:52
Hebrew,2,test,00:47:00
Tagalog,2,val,00:47:15
Danish,2,val,00:47:50
Korean,1,train,00:48:30
Japanese,2,val,00:48:57
Hebrew,2,val,00:49:00
Japanese,2,test,00:49:43
Tagalog,1,train,00:50:10
Danish,2,test,00:50:10
Tagalog,2,test,00:50:29
Korean,2,test,00:50:38
Arabic,2,val,00:50:40
Korean,2,val,00:50:55
Japanese,1,train,00:51:24
Danish,1,train,00:52:00
Arabic,2,test,00:52:28
Hebrew,1,train,00:54:00
Swedish,2,train,01:02:00
Esperanto,1,train,01:10:48
Greek,2,train,01:16:40
Russian,5,train,01:18:40
Multilingual,1,train,01:19:15
Dutch,5,train,01:24:20
Chinese,4,train,01:24:44
Spanish,5,train,01:25:46
Tamil,1,train,01:25:50
Portuguese,5,train,01:26:40
Italian,5,train,01:26:41
French,5,train,01:26:54
Finnish,4,train,01:27:20
Polish,4,train,01:27:54
German,5,train,01:31:40
Latin,5,train,01:32:00
English,5,train,01:34:10
